"No.","Time","Source","Destination","Protocol","Length","Info"
"69","0.593610","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2a03:90c0:321:2803::252","TCP","74","61100  >  80 [ACK] Seq=203 Ack=5463 Win=65280 Len=0"
"70","0.612114","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2a03:90c0:321:2803::252","HTTP","356","GET /msdownload/update/v3/static/trustedr/en/authrootstl.cab?27f0be9de00a6407 HTTP/1.1 "
"71","0.641611","64:ff9b::3369:4788","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","520","Application Data"
"72","0.641700","2402:8100:319f:dfc1:4566:6720:20cd:8d51","64:ff9b::3369:4788","TCP","74","60308  >  443 [ACK] Seq=2639 Ack=892 Win=1022 Len=0"
"73","0.713778","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","HTTP","467","HTTP/1.1 304 Not Modified "
"74","0.738555","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2a03:90c0:321:2803::252","HTTP","270","GET /msdownload/update/v3/static/trustedr/en/pinrulesstl.cab?9b5f0692a660e82e HTTP/1.1 "
"75","0.779038","64:ff9b::287e:1221","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  63591 [ACK] Seq=1 Ack=5046 Win=49154 Len=1380 [TCP PDU reassembled in 86]"
"76","0.790469","64:ff9b::287e:1221","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  63591 [ACK] Seq=1381 Ack=5046 Win=49154 Len=1380 [TCP PDU reassembled in 86]"
"77","0.790469","64:ff9b::287e:1221","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  63591 [ACK] Seq=2761 Ack=5046 Win=49154 Len=1380 [TCP PDU reassembled in 86]"
"78","0.790469","64:ff9b::287e:1221","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  63591 [ACK] Seq=4141 Ack=5046 Win=49154 Len=1380 [TCP PDU reassembled in 86]"
